# == pyFAI calibration ==
# Distance Sample to Detector: 2.9997704 m
# PONI: 4.785e-01, 4.477e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2999.770 mm
# Center: x=59.700, y=63.800 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-03, 7.500e-03 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.99764e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1
# --> AL_P188_Px10mgml_f5370359_r1d.csv
#        q_A^-1              I           sigma 
  1.573903e-01    4.894794e+01   1.130220e+00
  1.579322e-01    4.892967e+01   1.090622e+00
  1.584742e-01    4.926870e+01   1.083011e+00
  1.590161e-01    4.914155e+01   1.051674e+00
  1.595580e-01    4.913264e+01   1.005649e+00
  1.600999e-01    4.908698e+01   9.847824e-01
  1.606418e-01    4.884310e+01   1.010964e+00
  1.611837e-01    4.891116e+01   1.035469e+00
  1.617256e-01    4.898828e+01   1.020156e+00
  1.622675e-01    4.886388e+01   1.001794e+00
  1.628094e-01    4.897657e+01   1.008102e+00
  1.633513e-01    4.895993e+01   1.017414e+00
  1.638932e-01    4.897705e+01   1.031620e+00
  1.644351e-01    4.908123e+01   1.025356e+00
  1.649770e-01    4.865597e+01   1.007658e+00
  1.655189e-01    4.852981e+01   1.002654e+00
  1.660608e-01    4.860510e+01   9.880853e-01
  1.666027e-01    4.857751e+01   1.005335e+00
  1.671446e-01    4.851392e+01   1.021144e+00
  1.676865e-01    4.860073e+01   1.027003e+00
  1.682284e-01    4.868839e+01   1.041254e+00
  1.687703e-01    4.871669e+01   1.031708e+00
  1.693122e-01    4.882204e+01   1.039377e+00
  1.698541e-01    4.870722e+01   1.054061e+00
  1.703960e-01    4.872646e+01   1.031815e+00
  1.709379e-01    4.856421e+01   1.020379e+00
  1.714798e-01    4.837843e+01   9.899416e-01
  1.720217e-01    4.835223e+01   9.870201e-01
  1.725636e-01    4.820593e+01   1.010835e+00
  1.731055e-01    4.800624e+01   1.023430e+00
  1.736474e-01    4.773183e+01   9.962028e-01
  1.741893e-01    4.776437e+01   1.004859e+00
  1.747312e-01    4.752959e+01   1.003241e+00
  1.752731e-01    4.765471e+01   9.888676e-01
  1.758150e-01    4.767722e+01   9.783027e-01
  1.763569e-01    4.773941e+01   9.820501e-01
  1.768988e-01    4.791966e+01   9.868378e-01
  1.774407e-01    4.798380e+01   9.786783e-01
  1.779826e-01    4.804520e+01   9.939286e-01
  1.785245e-01    4.802704e+01   9.943962e-01
  1.790664e-01    4.816196e+01   9.999185e-01
  1.796083e-01    4.815332e+01   1.001848e+00
  1.801502e-01    4.797360e+01   9.993253e-01
  1.806921e-01    4.766133e+01   9.908728e-01
  1.812340e-01    4.745758e+01   9.532850e-01
  1.817759e-01    4.729312e+01   9.306751e-01
  1.823178e-01    4.730018e+01   9.105822e-01
  1.828597e-01    4.712468e+01   9.107284e-01
  1.834016e-01    4.715427e+01   9.013681e-01
  1.839435e-01    4.740190e+01   9.195561e-01
  1.844854e-01    4.751332e+01   9.165068e-01
  1.850273e-01    4.769865e+01   9.303303e-01
